EOCID	Identifier	Chemical formula	Mol.wt	Exact Mol.Mwt	LogP	Molar Refractivity	Topological polar surface area 	Number of Hydrogen bond donors	Number of Hydrogen bond acceptors	Number of Chiral Carbons	Number of Carbon atoms	Number of SP hybridized Carbon atoms	Number of SP2 hybridized Carbon atoms	Number of SP2 hybridized Carbon atoms test	Number of SP3 hybridized Carbon atoms	Shape complexity 	Fraction of SP3 hybridized Carbon atoms_x	Fraction of Chiral Carbon atoms	Number of Heavy atom	Number of Nitrogen atoms	Number of Sulphur atoms	Number of Heteroatoms	Number of Rotatable bonds	Number of Aliphatic Carbon cycles	Number of Aliphatic Heterocycles	Number of Aliphatic rings	Number of Aromatic Carbon cycles	Number of Aromatic Heterocycles	Number of Aromatic rings	Total number of rings	Number of Saturated Carbon cycles	Number of Saturated Heterocycles	Number of Saturated rings	Smallest set of smallest rings (SSSR)	Lipinski's RO5 violations	Lipinski filter	Ghose filter violations	Ghose filter	Veber filter	Egan filter	GSK 4/400 filter	Pfizer 3/75 filter	QEDw	QEDuw	Fraction of SP3 hybridized Carbon atoms_y	Shape complexity	Stereochemical complexity	Can_smiles	Formula	MW	#Heavy atoms	#Aromatic heavy atoms	Fraction Csp3	#Rotatable bonds	#H-bond acceptors	#H-bond donors	MR	TPSA	iLOGP	XLOGP3	WLOGP	MLOGP	Silicos-IT Log P	Consensus Log P	ESOL Log S	ESOL Solubility (mg/ml)	ESOL Solubility (mol/l)	ESOL Class	Ali Log S	Ali Solubility (mg/ml)	Ali Solubility (mol/l)	Ali Class	Silicos-IT LogSw	Silicos-IT Solubility (mg/ml)	Silicos-IT Solubility (mol/l)	Silicos-IT class	GI absorption	BBB permeant	Pgp substrate	CYP1A2 inhibitor	CYP2C19 inhibitor	CYP2C9 inhibitor	CYP2D6 inhibitor	CYP3A4 inhibitor	log Kp (cm/s)	Lipinski #violations	Ghose #violations	Veber #violations	Egan #violations	Muegge #violations	Bioavailability Score	PAINS #alerts	Brenk #alerts	Leadlikeness #violations	Synthetic Accessibility	Scaffold-Graph	Scaffold-Graph_Node	Scaffold-Graph_Node_Bond	No_of_Carbons	InChiKey	Kingdom	Superclass	Class	Subclass	F	G	H	I	J
EOCID002598	CAS_10276-85-4	C15H22O2	234.3389999999999	234.161979944	4.090300000000004	69.61400000000005	26.3	0	2	0	15	0	7	7	8	0.53	0.53	0.0	17	0	0	2	9	0	0	0	1	0	1	1	0	0	0	1	0	Passed	0	Passed	Good	Good	Bad	Bad	0.4999609767012252	0.6080343460093983	0.53	0.53	0.0	CCCCCCCC(=O)OCc1ccccc1	C15H22O2	234.33	17	6	0.53	9	2	0	71.15	26.3	3.55	4.6	3.94	3.65	4.3	4.01	-3.86	0.0325	0.000139	Soluble	-4.88	0.00311	0.0000133	Moderately soluble	-5.31	0.00114	0.00000485	Moderately soluble	High	Yes	No	Yes	Yes	No	Yes	No	-4.46	0	0	0	0	0	0.55	0	0	3	2.11	C1CCCCC1	C1CCCCC1	c1ccccc1	15	MWQWCHLIPMDVLS-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzyloxycarbonyls					
EOCID002602	CAS_104263-85-6	C20H30O2	302.458	302.2245802	4.889600000000005	90.53800000000005	34.14	0	2	3	20	0	6	6	14	0.7	0.7	0.15	22	0	0	2	5	2	0	2	0	0	0	2	2	0	2	2	0	Passed	0	Passed	Good	Good	Bad	Bad	0.4114742934278205	0.5488808540083636	0.7	0.7	0.15	O=CC/C(=C\CC1C(=C)CCC2C1(C)CCCC2(C)C)/C=O	C20H30O2	302.45	22	0	0.7	5	2	0	92.96	34.14	2.84	4.45	4.89	3.64	5.42	4.25	-4.19	0.0196	0.0000648	Moderately soluble	-4.89	0.00393	0.000013	Moderately soluble	-4.5	0.00945	0.0000313	Moderately soluble	High	Yes	No	No	Yes	Yes	Yes	No	-4.99	0	0	0	0	0	0.55	0	3	1	4.7	CC1CCC2CCCCC2C1	CC1CCC2CCCCC2C1	C=C1CCC2CCCCC2C1	20	TZCSIFOYBLPUIF-FRKPEAEDSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids					
EOCID002512	CAS_110-49-6	C5H10O3	118.132	118.06299418	0.19589999999999996	28.508999999999986	35.53	0	3	0	5	0	1	1	4	0.8	0.8	0.0	8	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	Passed	3	Failed	Good	Good	Good	Bad	0.3918906534324243	0.503932034501753	0.8	0.8	0.0	COCCOC(=O)C	C5H10O3	118.13	8	0	0.8	4	3	0	28.52	35.53	1.93	-0.03	0.2	0.01	0.34	0.49	-0.29	60.7	0.513	Very soluble	-0.27	64	0.542	Very soluble	-0.84	17	0.144	Soluble	High	No	No	No	No	No	No	No	-7.04	0	3	0	0	1	0.55	0	0	1	1.7				5	XLLIQLLCWZCATF-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid esters				
EOCID003126	CAS_119-47-1	C23H32O2	340.5070000000001	340.240230264	5.900440000000005	105.89360000000005	40.46	2	2	0	23	0	12	12	11	0.48	0.48	0.0	25	0	0	2	4	0	0	0	2	0	2	2	0	0	0	2	1	Passed	1	Failed	Good	Good	Bad	Bad	0.7142205182500564	0.7208879444584452	0.48	0.48	0.0	Cc1cc(Cc2cc(C)cc(c2O)C(C)(C)C)c(c(c1)C(C)(C)C)O	C23H32O2	340.5	25	12	0.48	4	2	2	108.41	40.46	4.14	6.25	5.9	5.05	6.61	5.59	-5.98	0.000357	0.00000105	Moderately soluble	-6.89	0.0000442	0.00000013	Poorly soluble	-7.33	0.0000159	0.0000000467	Poorly soluble	High	Yes	Yes	No	Yes	No	Yes	No	-3.94	1	1	0	1	1	0.55	0	0	1	2.76	C1CCC(CC2CCCCC2)CC1	C1CCC(CC2CCCCC2)CC1	c1ccc(Cc2ccccc2)cc1	23	KGRVJHAUYBGFFP-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes					
EOCID002698	CAS_1196-55-0	C10H14O	150.22099999999998	150.104465068	2.4659000000000004	44.282000000000025	17.07	0	1	1	10	0	3	3	7	0.7	0.7	0.1	11	0	0	1	0	2	0	2	0	0	0	2	1	0	1	2	0	Passed	1	Failed	Good	Good	Good	Bad	0.5181166925685888	0.47319988361969906	0.7	0.7	0.1	O=C1CCC2C(=C1)CCCC2	C10H14O	150.22	11	0	0.7	0	1	0	45.68	17.07	2.14	1.9	2.47	2.2	2.73	2.29	-1.97	1.62	0.0108	Very soluble	-1.88	1.97	0.0131	Very soluble	-2.05	1.35	0.00899	Soluble	High	Yes	No	No	No	No	No	No	-5.87	0	1	0	0	2	0.55	0	0	1	3.13	CC1CCC2CCCCC2C1	OC1CCC2CCCCC2C1	O=C1C=C2CCCCC2CC1	10	FOCKPZOFYCTNIA-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Cyclic ketones	Cyclohexenones		
EOCID000629	CAS_132032-86-1	C17H28O3	280.408	280.203844756	3.6056000000000026	78.11800000000005	43.370000000000005	0	3	5	17	0	2	2	15	0.88	0.88	0.29	20	0	0	3	4	2	0	2	0	0	0	2	2	0	2	2	0	Passed	0	Passed	Good	Good	Good	Bad	0.7417636061923646	0.7907480823602561	0.88	0.88	0.29	CC(=O)OC1(C)CCC(C2C1CCC2C(=O)C)C(C)C	C17H28O3	280.4	20	0	0.88	4	3	0	81.13	43.37	3.23	3.13	3.61	3.06	3.36	3.28	-3.29	0.145	0.000517	Soluble	-3.71	0.0547	0.000195	Soluble	-3.06	0.242	0.000863	Soluble	High	Yes	No	No	No	No	No	No	-5.79	0	0	0	0	0	0.55	0	0	0	3.76	C1CCC2CCCC2C1	C1CCC2CCCC2C1	C1CCC2CCCC2C1	17	DMVJXSFUJUHRRF-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids					
EOCID003146	CAS_135118-52-4	C15H24O	220.356	220.182715388	3.697600000000002	68.15480000000005	20.23	1	1	2	15	0	4	4	11	0.73	0.73	0.13	16	0	0	1	2	2	0	2	0	0	0	2	0	0	0	2	0	Passed	0	Passed	Good	Good	Good	Bad	0.7035304068856119	0.6138942916669489	0.73	0.73	0.13	OCC1=CC2C(=C(C)CCC2C(C)C)CC1	C15H24O	220.35	16	0	0.73	2	1	1	70.2	20.23	3.04	2.55	3.7	3.56	3.49	3.27	-2.68	0.46	0.00209	Soluble	-2.62	0.526	0.00239	Soluble	-2.96	0.239	0.00109	Soluble	High	Yes	No	No	No	No	No	No	-5.83	0	0	0	0	1	0.55	0	1	1	4.08	C1CCC2CCCCC2C1	C1CCC2CCCCC2C1	C1=CC2CCCC=C2CC1	15	PSCGCYQLAZATGE-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids					
EOCID002306	CAS_1461-27-4	C10H16	136.23800000000003	136.125200512	3.308900000000002	45.91200000000003	0.0	0	0	1	10	0	4	4	6	0.6	0.6	0.1	10	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	Passed	1	Failed	Good	Good	Good	Bad	0.48503449155951606	0.32320302929716016	0.6	0.6	0.1	CC1=CCC[C@@H](C1)C(=C)C	C10H16	136.23	10	0	0.6	1	0	0	47.12	0	2.64	3.36	3.31	3.27	2.97	3.11	-2.74	0.251	0.00184	Soluble	-3.04	0.125	0.000916	Soluble	-2.26	0.754	0.00553	Soluble	Low	Yes	No	No	No	No	No	No	-4.75	0	1	0	0	2	0.55	0	1	1	3.46	C1CCCCC1	C1CCCCC1	C1=CCCCC1	10	JWQKMEKSFPNAIB-JTQLQIEISA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Monocyclic monoterpenoids				
EOCID002963	CAS_167817-63-2	C18H28O	260.42099999999994	260.214015516	4.930400000000005	80.91400000000006	17.07	0	1	3	18	0	5	5	13	0.72	0.72	0.17	19	0	0	1	3	2	0	2	0	0	0	2	2	0	2	2	0	Passed	0	Passed	Good	Good	Bad	Bad	0.39927688458665916	0.4326959329387772	0.72	0.72	0.17	O=C/C=C/CC1C(=C)CCC2C1(C)CCCC2(C)C	C18H28O	260.41	19	0	0.72	3	1	0	83.14	17.07	3.25	5.04	4.93	4.19	5.07	4.5	-4.43	0.00964	0.000037	Moderately soluble	-5.14	0.00189	0.00000725	Moderately soluble	-4.17	0.0177	0.0000681	Moderately soluble	High	Yes	No	No	Yes	Yes	No	No	-4.31	1	0	0	0	2	0.55	0	3	1	4.16	CC1CCC2CCCCC2C1	CC1CCC2CCCCC2C1	C=C1CCC2CCCCC2C1	18	UMOQQBYJZPZYPC-AATRIKPKSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Alpha,beta-unsaturated carbonyl compounds	Alpha,beta-unsaturated aldehydes	Enals		
EOCID003252	CAS_17334-55-3	C15H24	204.35699999999994	204.187800768	4.415000000000004	64.58300000000004	0.0	0	0	4	15	0	2	2	13	0.87	0.87	0.27	15	0	0	0	0	3	0	3	0	0	0	3	2	0	2	3	0	Passed	0	Passed	Good	Good	Bad	Bad	0.5125130456348207	0.33255666757024366	0.87	0.87	0.27	C[C@H]1CCC=C2[C@]1(C)C1C(C1(C)C)CC2	C15H24	204.35	15	0	0.87	0	0	0	66.88	0	3.19	4.66	4.42	5.65	3.91	4.36	-4.04	0.0185	0.0000906	Moderately soluble	-4.39	0.00838	0.000041	Moderately soluble	-3.52	0.0619	0.000303	Soluble	Low	No	No	No	Yes	Yes	No	No	-4.24	1	0	0	0	1	0.55	0	1	2	4.34	C1CCC2C(C1)CCC1CC12	C1CCC2C(C1)CCC1CC12	C1=C2CCC3CC3C2CCC1	15	MBIPADCEHSKJDQ-LAKVINJISA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Aristolane sesquiterpenoids				
