Plant name,chem_final,n_samples,pct_mean,pct_std
Boswellia serrata,(+)-3-Carene,5,5.97,3.4787928940941573
Boswellia serrata,(-)-beta-Pinene,1,0.21,
Boswellia serrata,10-epi-gamma-Eudesmol,4,1.60000005,2.520581901069672
Boswellia serrata,"3,7-Dimethyloctan-3-ol",4,8.55,1.552417469626003
Boswellia serrata,"4-Terpineol, (+/-)-",5,0.17000002,0.17175561562872407
Boswellia serrata,Alpha-Terpineol,5,2.77,2.0004999375156203
Boswellia serrata,Anethole,4,0.10000005,0.14142130909686135
Boswellia serrata,Benzyl tiglate,4,3.275,1.666083231214255
Boswellia serrata,Beta-Phellandrene,5,0.30600002,0.5056480838488385
Boswellia serrata,"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-",5,37.432,16.41658064275262
Boswellia serrata,Cadinane,4,0.325000025,0.2499999566666679
Boswellia serrata,Camphene,5,0.08800002,0.07563065251604009
Boswellia serrata,Camphor,1,0.04,
Boswellia serrata,Elemicin,1,0.37,
Boswellia serrata,Elemol,4,0.25,0.23804761428476165
Boswellia serrata,Estragole,5,0.68800002,1.156598446134181
Boswellia serrata,Fenchone,1,1e-07,
Boswellia serrata,Geraniol,4,1.325000025,1.0111873771298123
Boswellia serrata,Humulene epoxide,4,0.10000007500000001,0.19999995
Boswellia serrata,Isoeugenyl methyl ether,4,2.25,0.9848857801796105
Boswellia serrata,"Limonene, (-)-",5,3.9299999999999997,3.3304654329387655
Boswellia serrata,"Linalool, (+/-)-",5,0.13800002,0.08786349128051993
Boswellia serrata,Linalyl acetate,4,0.025000075,0.04999995
Boswellia serrata,Menthone,6,0.050000083333333334,0.12247444631432985
Boswellia serrata,Methyleugenol,1,0.33,
Boswellia serrata,Sabinene,5,1.574,1.9670739691226664
Boswellia serrata,Terpinolene,4,0.180000025,0.2315167121397557
Boswellia serrata,Terpinyl isobutyrate,4,1.25000005,1.8411952186917433
Boswellia serrata,Thujone,1,1.76,
Boswellia serrata,Tricyclene,5,0.08400004,0.1275930703447605
Boswellia serrata,Undecenol,4,0.45,0.1914854215512676
Boswellia serrata,Zingiberene,1,1.01,
Boswellia serrata,alpha-PHELLANDRENE,1,2.22,
Boswellia serrata,alpha-PINENE,5,3.78600006,5.3273801659070665
Boswellia serrata,alpha-Terpinene,5,1.002,1.0158838516287185
Boswellia serrata,beta-Bourbonene,5,0.33800004,0.6459256661567203
Boswellia serrata,"beta-CITRONELLOL, (+/-)-",5,0.20200002,0.25302171823778685
Boswellia serrata,"beta-Ocimene, (3Z)-",4,0.200000075,0.39999995000000005
Boswellia serrata,beta-Thujone,1,1.4,
Boswellia serrata,epi-Cubenol,4,5.5249999999999995,2.494493936653284
Boswellia serrata,eudesmol,4,1.65,1.173314393786536
Boswellia serrata,gamma-Terpinene,5,0.31,0.22472205054244232
Boswellia serrata,p-CYMENE,5,2.696,1.0266839825379572
Boswellia serrata,trans-Nerolidol,4,0.82500005,1.0210288389658753
Cananga odorata,(-)-alpha-Copaene,1,2.9,
Cananga odorata,"(1S,2S)-1-ethenyl-1-methyl-4-propan-2-ylidene-2-prop-1-en-2-ylcyclohexane",1,1.9,
Cananga odorata,"1,4-bis (ethynyl) butane",1,0.9,
Cananga odorata,"2-Ethyl-3-methylthiirane 1,1-dioxide",1,1.6,
Cananga odorata,Alpha-Farnesene,1,10.3,
Cananga odorata,Benzyl Benzoate,1,2.3,
Cananga odorata,Beta-Elemene,1,3.1,
Cananga odorata,"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-",1,0.6,
Cananga odorata,Camphene,1,0.9,
Cananga odorata,Caryophyllene,1,19.7,
Cananga odorata,Farnesylacetone,1,5.1,
Cananga odorata,Geraniol,1,1.3,
Cananga odorata,"Limonene, (-)-",1,1.3,
Cananga odorata,Phenylmethyl ester,1,5.6,
Cananga odorata,Sabinene,1,0.8,
Cananga odorata,T-Muurolol,1,4.2,
Cananga odorata,alpha-Cadinol,1,3.0,
Cananga odorata,alpha-Cubebene,1,1.9,
Cananga odorata,alpha-Muurolene,1,0.4,
Cananga odorata,alpha-Myrcene,1,1.3,
Cananga odorata,beta-CARYOPHYLLENE OXIDE,1,1.1,
Cananga odorata,"beta-OCIMENE, (3E)-",1,13.2,
Cananga odorata,epi-Cubenol,1,1.9,
Cananga odorata,"trans,trans-Farnesol",2,2.9000000000000004,1.1313708498984762
Cinnamomum verum,(+)-3-Carene,15,0.11933334666666667,0.08899971332217768
Cinnamomum verum,(+)-delta-Cadinene,1,0.06,
Cinnamomum verum,(-)-beta-Pinene,13,0.16615384615384615,0.10380578512607583
Cinnamomum verum,(Z)-Cinnamyl acetate,3,0.8766666666666666,1.4837901918173382
Cinnamomum verum,(Z)-Methyl cinnamate,1,0.18,
Cinnamomum verum,"(Z,E)-alpha-Farnesene",2,0.01000005,0.014142064913052832
Cinnamomum verum,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol",15,0.11800000000000001,0.1071180923760581
Cinnamomum verum,"2-Furanmethanol, 5-ethenyltetrahydro-alpha,alpha,5-trimethyl-, (2R,5R)-rel-",3,0.04666666666666667,0.046188021535170064
Cinnamomum verum,2-Heptanone,1,0.02,
Cinnamomum verum,2-Hexanol,1,0.01,
Cinnamomum verum,2-Phenylethyl propionate,2,0.01000005,0.014142064913052832
Cinnamomum verum,"2-[(2R,5S)-5-ethenyl-5-methyloxolan-2-yl]propan-2-ol",3,0.02666666666666667,0.011547005383792516
Cinnamomum verum,"4-Terpineol, (+/-)-",15,0.17800000666666668,0.2788547963674707
Cinnamomum verum,6-Camphenol,12,0.04583339166666667,0.058224957551043635
Cinnamomum verum,Alpha-Terpineol,2,0.12000000000000001,0.02828427124746191
Cinnamomum verum,Anethole,12,0.051666725000000004,0.07158376805175527
Cinnamomum verum,Aromadendrene,12,0.060000058333333335,0.08257223614400201
Cinnamomum verum,Benzyl Benzoate,14,2.677857142857143,1.9971409509651483
Cinnamomum verum,Benzyl acetate,12,0.1275000166666667,0.16287891459051212
Cinnamomum verum,Beta-Elemene,2,0.265,0.021213203435596444
Cinnamomum verum,Beta-Phellandrene,2,0.02,0.0
Cinnamomum verum,"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-",15,0.11866666666666667,0.05742904524798613
Cinnamomum verum,Camphene,15,0.24533333333333335,0.22928044794426716
Cinnamomum verum,Camphor,15,0.12933334666666668,0.1949163339926751
Cinnamomum verum,Carvacrol,12,0.10000000000000002,0.0
Cinnamomum verum,Caryophyllene,15,1.1700000000000002,0.685690475777102
Cinnamomum verum,Cinnamaldehyde,14,0.2935714285714286,0.3837789256020499
Cinnamomum verum,Cinnamyl acetate,2,1.61,1.244507934888324
Cinnamomum verum,Cinnamyl alcohol,2,0.01000005,0.014142064913052832
Cinnamomum verum,Citronellal,3,0.16,0.2007485989988473
Cinnamomum verum,Cuminaldehyde,2,0.02,0.0
Cinnamomum verum,Estragole,3,0.09000000000000001,0.08888194417315588
Cinnamomum verum,Eucalyptol,15,0.20400000000000001,0.11642287453196522
Cinnamomum verum,Eugenol,15,79.93,8.663112274795601
Cinnamomum verum,Eugenol acetate,15,5.17,7.137222348865338
Cinnamomum verum,Geranyl benzoate,1,0.05,
Cinnamomum verum,Humulene,14,0.41428572142857145,0.5129059573634351
Cinnamomum verum,Humulene epoxide,1,0.05,
Cinnamomum verum,Isoeugenyl methyl ether,2,0.01000005,0.014142064913052832
Cinnamomum verum,"Linalool, (+/-)-",15,2.322666666666667,1.9349103584502552
Cinnamomum verum,Linalyl acetate,2,0.26000005,0.3676954555063266
Cinnamomum verum,Methyl Salicylate,12,0.16750004166666665,0.36274519387832116
Cinnamomum verum,Methyl cinnamate,2,0.02,0.0
Cinnamomum verum,Methylisoeugenol,2,0.02,0.0
Cinnamomum verum,Myrcene,15,0.17133334,0.11963435336374989
Cinnamomum verum,Nerol,3,0.10000000000000002,0.13856406460551018
Cinnamomum verum,Octanal,2,0.01000005,0.014142064913052832
Cinnamomum verum,Phenethyl anthranilate,1,0.02,
Cinnamomum verum,Phenethyl benzoate,2,0.05,0.042426406871192854
Cinnamomum verum,Phenethyl decanoate,1,0.03,
Cinnamomum verum,Phenylethyl Alcohol,3,0.013333366666666666,0.011546947648765597
Cinnamomum verum,Piperitone,3,1.1133333666666667,1.9024282435876534
Cinnamomum verum,Sabinene,15,0.06000003333333334,0.06546533433812418
Cinnamomum verum,Safrole,3,0.09000000000000001,0.08888194417315588
Cinnamomum verum,Spathulenol,13,0.10076923076923078,0.002773500981126145
Cinnamomum verum,Terpinolene,15,0.13933333333333334,0.09772166499565903
Cinnamomum verum,Thymol,12,0.10000000000000002,0.0
Cinnamomum verum,alpha-Cadinol,13,0.09307693076923076,0.031460165900107834
Cinnamomum verum,alpha-Copaene,12,0.11833333333333333,0.06350852961085883
Cinnamomum verum,alpha-Hexylcinnamaldehyde,1,0.33,
Cinnamomum verum,alpha-PHELLANDRENE,15,2.1580000000000004,1.5385484810598038
Cinnamomum verum,alpha-PINENE,17,0.31058824117647055,0.31820728852524544
Cinnamomum verum,alpha-Selinene,1,0.1,
Cinnamomum verum,alpha-Terpinene,15,0.05200006666666667,0.13670612275974467
Cinnamomum verum,beta-CARYOPHYLLENE OXIDE,15,0.41000000000000003,0.3135283081318176
Cinnamomum verum,beta-Farnesene,1,0.18,
Cinnamomum verum,"beta-OCIMENE, (3E)-",15,0.08066668,0.038631316928371545
Cinnamomum verum,"beta-Ocimene, (3Z)-",14,0.1121428642857143,0.07495418696015492
Cinnamomum verum,beta-Selinene,2,0.02,0.0
Cinnamomum verum,cis-Cinnamaldehyde,15,0.2720000066666666,0.26854634417811246
Cinnamomum verum,epi-Cubenol,24,0.08458335,0.038783549665278576
Cinnamomum verum,gamma-Cadinene,2,0.065,0.021213203435596427
Cinnamomum verum,gamma-Terpinene,15,0.15466668,0.1656962089976464
Cinnamomum verum,o-Cymene,12,0.8308333333333332,0.6593999797795973
Cinnamomum verum,p-CYMENE,3,0.31333333333333335,0.17243356208503416
Cinnamomum verum,tau-Cadinol,13,0.09846153846153846,0.02192645048267573
Cinnamomum verum,"trans,trans-Farnesol",2,0.02,0.0
Cinnamomum verum,trans-Calamenene,12,0.05000005,0.05222324456341256
Cinnamomum verum,trans-Nerolidol,1,0.02,
Citrus aurantium,(+)-3-Carene,1,1e-07,
Citrus aurantium,(+)-delta-Cadinene,1,0.9,
Citrus aurantium,(-)-beta-Chamigrene,1,1.8,
Citrus aurantium,(-)-beta-Pinene,2,0.245,0.07778174593052022
Citrus aurantium,(-)-cis-Carveol,1,0.2,
