ACEITES,mL,Costo Inscritos,Costo Retail,PVs,Gtas x frasco,Precio x gta,precio_por_mL
Sándalo,5.0,1652,2203,60.0,80,27.5375,330.4
Nardo,5.0,1184,1579,54.5,80,19.7375,236.8
Cardamomo,5.0,702,936,33.0,80,11.7,140.4
Tulsi,5.0,660,880,31.0,80,11.0,132.0
Incienso,15.0,1650,2200,72.0,240,9.166666666666666,110.0
Pimienta Negra,5.0,520,693,25.0,80,8.6625,104.0
Canela,5.0,508,677,25.0,80,8.4625,101.6
Baya de Enebro,5.0,502,669,24.0,80,8.3625,100.4
Cananga,15.0,985,1313,47.0,240,5.470833333333333,65.66666666666667
Salvia,15.0,892,1189,43.0,240,4.954166666666667,59.46666666666667
Ylang Ylang,15.0,842,1123,41.0,240,4.679166666666666,56.13333333333333
Hierbabuena,15.0,705,940,34.0,240,3.9166666666666665,47.0
Jengibre,15.0,696,928,34.0,240,3.8666666666666667,46.4
Pachulí,15.0,665,887,32.0,240,3.6958333333333333,44.333333333333336
Tomillo,15.0,654,872,31.0,240,3.6333333333333333,43.6
Geranio,15.0,648,864,32.0,240,3.6,43.2
Petitgrain,15.0,632,843,31.0,240,3.5125,42.13333333333333
Cilantro,15.0,610,813,30.0,240,3.3875,40.666666666666664
Orégano,15.0,524,699,26.0,240,2.9125,34.93333333333333
Lavanda,15.0,508,677,25.0,240,2.8208333333333333,33.86666666666667
Citronela,15.0,502,669,24.0,240,2.7875,33.46666666666667
Árbol de Té,15.0,495,660,24.0,240,2.75,33.0
Albahaca,15.0,495,660,24.0,240,2.75,33.0
Menta,15.0,492,656,24.0,240,2.7333333333333334,32.8
Mejorana,15.0,448,597,22.0,240,2.4875,29.866666666666667
Hinojo,15.0,352,469,17.0,240,1.9541666666666666,23.466666666666665
Romero,15.0,346,461,17.0,240,1.9208333333333334,23.066666666666666
Clavo,15.0,334,445,16.0,240,1.8541666666666667,22.266666666666666
Eucalipto Limón,15.0,334,445,16.0,240,1.8541666666666667,22.266666666666666
Limón,15.0,244,325,12.0,240,1.3541666666666667,16.266666666666666
Limoncillo,15.0,238,317,12.0,240,1.3208333333333333,15.866666666666667
