Sno	Plant name	Plant Part	Plant Subpart	Odor	Color	Reference
1	Tinospora cordifolia	leaf	leaf		Light yellow	https://doi.org/10.1080/0972060X.2013.831568
2	Chromolaena odorata	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2013.831571
3	Syzygium aromaticum	stem	bud		Yellowish	https://doi.org/10.1080/0972060X.2014.884779
4	Corymbia citriodora	flower	flower		Pale yellow	https://doi.org/10.1080/0972-060X.2004.10643384
5	Acorus calamus	rhizome	rhizome	pleasant, sweet (light)	light yellow to pale brown	https://doi.org/10.1080/0972060X.2014.884815
6	Artemisia annua	shoot	shoot	sweet, camphor (light), herbal-green	Pale yellow	https://doi.org/10.1080/0972060X.2014.886968
7	Syzygium caryophyllatum	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2014.895198
8	Aristolochia krisagathra	stem	stem	fruity	Pale yellow	https://doi.org/10.1080/0972060X.2014.901623
9	Curcuma aromatica	rhizome	rhizome		Yellowish	https://doi.org/10.1080/0972060X.2014.908746
10	Cinnamomum glanduliferum	leaf	leaf	camphor		https://doi.org/10.1080/0972060X.2014.935027
11	Cymbopogon citratus	leaf	leaf	strong, fresh, grassy citrus	Pale yellow	https://doi.org/10.1080/0972060X.2014.935075
12	Curcuma aromatica	leaf	leaf		Light yellow	https://doi.org/10.1080/0972-060X.2004.10643404
13	Syzygium grande	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2014.958572
14	Artemisia nilagirica	leaf	leaf		Light yellow	https://doi.org/10.1080/0972060X.2014.960267
15	Hedychium coronarium	leaf	leaf		Yellow	https://doi.org/10.1080/0972060X.2014.960268
16	Hedychium coronarium	rhizome	rhizome		Yellow	https://doi.org/10.1080/0972060X.2014.960268
17	Cymbopogon winterianus	leaf	leaf	sweet	Colourless	https://doi.org/10.1080/0972-060X.2004.10643409
18	Salvia officinalis	leaf	leaf	distinctive	Light yellow	https://doi.org/10.1080/0972060X.2016.1211491
19	Isodon wightii	leaf	leaf	pleasant, aromatic	Yellowish orange	https://doi.org/10.1080/0972060X.2016.1211963
20	Betula utilis	bark	bark	woody	Light Pale	https://doi.org/10.1080/0972060X.2015.1036569
21	Pelargonium graveolens	leaf	leaf	powerful, sweet rose	Light greenish	https://doi.org/10.1080/0972060X.2005.10643417
22	Piper betle	leaf	leaf	spices	Light yellow to dark yellow	https://doi.org/10.1080/0972060X.2016.1179131
23	Clausena indica	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1080/0972060X.2011.10644003
24	Cymbopogon winterianus	leaf	leaf		Colourless	https://doi.org/10.1080/0972060X.2006.10643476
25	Cymbopogon winterianus	flower	inflorescence		Colourless	https://doi.org/10.1080/0972060X.2006.10643476
26	Artemisia nilagirica	aerial part	aerial part	strong	Pale yellow	https://doi.org/10.1080/0972060X.2016.1256235
27	Origanum majorana	aerial part	aerial part	aromatic	Light yellow	https://doi.org/10.1080/0972060X.2016.1264276
28	Origanum majorana	stem	stem	aromatic	Yellowish green	https://doi.org/10.1080/0972060X.2016.1264276
29	Leucas decemdentata	aerial part	aerial part		Colourless	https://doi.org/10.1080/0972060X.2016.1262791
30	Cymbopogon citratus	leaf	leaf	citrus	Pale yellow	https://doi.org/10.1080/0972060X.2017.1328289
31	Angelica glauca	root	root		Greenish yellow	https://doi.org/10.1080/0972060X.2017.1336119
32	Syzygium makul	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2012.10644127
33	Vitex negundo	fruit	fruit		Yellowish	https://doi.org/10.1080/0972060X.2007.10643549
34	Kaempferia galanga	rhizome	rhizome		Yellow	https://doi.org/10.1080/0972060X.2017.1400405
35	Corymbia citriodora	leaf	leaf		Colourless	https://doi.org/10.1080/0972060X.2008.10643600
36	Trachyspermum ammi	seed	seed		Light yellowish green	https://doi.org/10.1080/0972060X.2008.10643607
37	Angelica glauca	root	root	pungent, warm, characteristic spicy, bittersweet	Pale yellow	https://doi.org/10.1080/0972060X.2018.1559106
38	Cinnamomum tamala	leaf	leaf	pleasant		https://doi.org/10.1080/0972060X.2008.10643631
39	Artemisia vulgaris	leaf	leaf	pleasant	Light yellow	https://doi.org/10.1080/0972060X.2019.1602083
40	Athanasia linifolia	aerial part	aerial part	pleasant		https://doi.org/10.1080/0972060X.2008.10643659
41	Ajania nubigena	aerial part	aerial part	pleasant		https://doi.org/10.1080/0972060X.2008.10643659
42	Aegle marmelos	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2019.1653796
43	Anisochilus carnosus	flower	inflorescence	herbal-spices-woody fatty	Orange red	https://doi.org/10.1080/0972-060X.2003.10643332
44	Murraya koenigii	flower	flower	sweet, floral		https://doi.org/10.1080/0972060X.2009.10643781
45	Murraya koenigii	leaf	leaf	fresh, pine, spices	Light yellow	https://doi.org/10.1080/0972060X.2009.10643781
46	Hedychium coronarium	rhizome	rhizome		Colourless	https://doi.org/10.1080/0972060X.2010.10643819
47	Hedychium spicatum	rhizome	rhizome		Pale yellow	https://doi.org/10.1080/0972060X.2010.10643819
48	Mentha spicata	aerial part	aerial part		Pale greenish	https://doi.org/10.1080/0972060X.2010.10643834
49	Anaphalis griffithii	aerial part	aerial part		Dark yellow	https://doi.org/10.1080/0972060X.2010.10643861
50	Artemisia vestita	aerial part	aerial part	sweet, woody	Pale yellow	https://doi.org/10.1080/0972-060X.2003.10643355
51	Artemisia maritima	aerial part	aerial part		Pale yellow	https://doi.org/10.1080/0972060X.2010.10643869
52	Valeriana jatamansi	whole plant	whole plant	strong	Pale yellow, Green	https://doi.org/10.1080/0972060X.2011.10643596
53	Artemisia annua	aerial part	aerial part	pleasant	Yellow green	https://doi.org/10.1080/0972060X.2007.10643537
54	Mentha arvensis	aerial part	aerial part		Light yellow	https://dx.doi.org/10.1080/0972060X.2011.10644007
55	Ruta graveolens	leaf	leaf	bitter, acrid		https://doi.org/10.1080/0972060X.2012.10644050
56	Solanum erianthum	fruit	fruit		Yellowish	https://doi.org/10.1080/0972060X.2012.10644065
57	Acalypha fruticosa	leaf	leaf	pleasant	Yellowish brown	https://doi.org/10.1080/0972060X.2012.10644095
58	Cymbopogon flexuosus	flower	inflorescence	lemon	Pale yellow	https://doi.org/10.1080/0972-060X.2004.10643370
59	Tagetes erecta	flower	flower	pungent	Amber red	https://doi.org/10.1080/0972060X.2013.794003
60	Plectranthus ovatus	aerial part	aerial part	pungent	Yellow	https://doi.org/10.1080/0972060X.2013.794025
61	Pinus roxburghii	leaf	leaf		Light yellow	https://doi.org/10.1080/0972060X.2013.831563
62	Coriandrum sativum	flower	inflorescence		Light yellow	https://doi.org/10.1080/10412905.2017.1399169
63	Etlingera linguiformis	rhizome	rhizome		Colourless	https://doi.org/10.1080/10412905.1995.9698529
64	Coleus forskohlii	root	root		Dark brown	https://doi.org/10.1080/10412905.1994.9698371
65	Cymbopogon flexuosus	aerial part	aerial part		Pale yellow	https://doi.org/10.1080/10412905.1994.9698332
66	Eucalyptus bridgesiana	leaf	leaf		Colourless	https://doi.org/10.1080/10412905.1991.9697984
67	Tamarindus indica	fruit	fruit	tamarind		https://doi.org/10.1080/10412905.1990.9697860
68	Glycosmis pentaphylla	bark	bark	pleasant		https://doi.org/10.1080/10412905.2000.9699568
69	Tagetes erecta	flower	flower		Pale yellow	https://doi.org/10.1080/10412905.1999.9711996
70	Illicium griffithii	fruit	fruit		Pale yellow	https://doi.org/10.1080/10412905.1997.9699466
71	Kaempferia galanga	rhizome	rhizome	camphor	Pale yellowish to yellow	https://doi.org/10.1080/10412905.2015.1077165
72	Artemisia annua	shoot	shoot	sweet, camphor (light), herbal-green	Pale yellow	https://doi.org/10.1080/10412905.2014.949881
73	Valeriana jatamansi	root	root	sweet, woody, musk, balsamic		https://doi.org/10.1080/10412905.2013.767757
74	Morina longifolia	aerial part	aerial part		Yellow	https://doi.org/10.1080/10412905.2012.703500
75	Cyperus compressus	root	root		Light yellow	https://doi.org/10.1080/10412905.2011.9700455
76	Lantana camara	flower	flower		Reddish yellow	https://doi.org/10.1080/10412905.2011.9700449
77	Lantana camara	leaf	leaf		Light yellow	https://doi.org/10.1080/10412905.2011.9700449
78	Heracleum candolleanum	leaf	leaf	pleasant	Colourless	https://doi.org/10.1080/10412905.2007.9699304
79	Heracleum candolleanum	fruit	fruit	pleasant	Colourless	https://doi.org/10.1080/10412905.2007.9699304
80	Angelica glauca	root	root	pungent, warm, spices, earthy or musty, bittersweet	Pale yellow	https://doi.org/10.1080/10412905.2005.9698930
81	Homalomena aromatica	rhizome	rhizome		Light yellow	https://doi.org/10.1002/1099-1026(200007/08)15:4<278::AID-FFJ913>3.0.CO;2-L
82	Artemisia scoparia	aerial part	aerial part		Pale yellow	https://doi.org/10.1002/ffj.1278
83	Amomum subulatum	fruit	pericarp		Yellowish brown	https://doi.org/10.1002/ffj.1336
84	Juniperus chinensis	leaf	leaf		Light yellow	https://doi.org/10.1002/ffj.1366
85	Mentha pulegium	aerial part	aerial part	minty	Pale	https://doi.org/10.1002/ffj.1497
86	Melaleuca citrina	leaf	leaf	pleasant		https://doi.org/10.1002/ffj.1564
87	Matricaria chamomilla	flower	flower	strong	dark blue	https://doi.org/10.1002/ffj.1582
88	Carissa spinarum	flower	flower	pleasant	Colourless	https://doi.org/10.1002/ffj.1595
89	Cinnamomum tazia	leaf	leaf	sweet, pungent, spices	Yellowish	https://doi.org/10.1002/ffj.1688
90	Curcuma haritha	rhizome	rhizome	camphor	Violet	https://doi.org/10.1002/ffj.1891
91	Zingiber zerumbet	rhizome	rhizome	ginger	Light yellow	https://doi.org/10.1002/ffj.1940
92	Matricaria chamomilla	leaf	leaf		Pale yellow	https://doi.org/10.1002/ffj.1035
93	Matricaria chamomilla	flower	inflorescence		Deep blue	https://doi.org/10.1002/ffj.1035
94	Matricaria chamomilla	flower	flower		Deep blue	https://doi.org/10.1002/ffj.1035
95	Matricaria chamomilla	flower	flower		Light yellow	https://doi.org/10.1002/ffj.1035
96	Matricaria chamomilla	root	root		Pale yellow	https://doi.org/10.1002/ffj.1035
97	Matricaria chamomilla	stem	stem		Pale yellow	https://doi.org/10.1002/ffj.1035
98	Curcuma longa	leaf	leaf		Pale yellow	https://doi.org/10.1002/ffj.1056
99	Artemisia imponens	aerial part	aerial part	herbaceous-green		https://doi.org/10.1002/ffj.2730070205
100	Buddleja asiatica	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1002/ffj.2730070306
101	Alpinia galanga	rhizome	rhizome	strong, spices		https://doi.org/10.1002/ffj.1105
102	Pelargonium graveolens	shoot	shoot	strong, rose		https://doi.org/10.1002/ffj.3390
103	Pelargonium graveolens	leaf	leaf	strong, rose		https://doi.org/10.1002/ffj.3390
104	Melia dubia	leaf	leaf	pungent	Pale yellow	https://doi.org/10.1002/ffj.986
105	Lippia alba	leaf	leaf		Pale yellow	https://doi.org/10.1002/1099-1026(200005/06)15:3<199::AID-FFJ892>3.0.CO;2-S
