Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
1	Tinospora cordifolia	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2013.831568
2	Chromolaena odorata	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2013.831571
3	Syzygium aromaticum	stem	bud	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.884779
4	Syzygium aromaticum	stem	bud	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.884779
5	Syzygium caryophyllatum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.895198
6	Syzygium caryophyllatum	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.895198
7	Ayapana triplinervis	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.914000
8	Ayapana triplinervis	stem	stem	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.914000
9	Thymus serpyllum	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.935071
10	Thymus serpyllum	whole plant	herb	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2014.935071
11	Thymus linearis	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.935071
12	Thymus linearis	whole plant	herb	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2014.935071
13	Cuminum cyminum	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.956675
14	Foeniculum vulgare	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.956675
15	Olax acuminata	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.956807
16	Curcuma aromatica	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972-060X.2004.10643404
17	Syzygium grande	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.958572
18	Artemisia nilagirica	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.960267
19	Corymbia citriodora	leaf	leaf	Cytotoxin	C0010868	D003603		https://doi.org/10.1080/0972060X.2015.1004119
20	Corymbia citriodora	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2015.1004119
21	Corymbia citriodora	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2015.1004119
22	Salvia officinalis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2016.1211491
23	Betula utilis	bark	bark	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2015.1036569
24	Clausena indica	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2011.10644003
25	Justicia adhatoda	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2016.1260061
26	Leucas decemdentata	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2016.1262791
27	Alpinia haenkei	rhizome	rhizome	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2017.1374216
28	Alpinia haenkei	rhizome	rhizome	Antipyretics	C0003419	D058633		https://doi.org/10.1080/0972060X.2017.1374216
29	Alpinia haenkei	rhizome	rhizome	Analgesics		D000700		https://doi.org/10.1080/0972060X.2017.1374216
30	Alpinia nigra	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1410452
31	Alpinia nigra	rhizome	rhizome	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2017.1410452
32	Combretum albidum	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1409659
33	Litchi chinensis	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2017.1417061
34	Zingiber officinale	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1417747
35	Trachyspermum ammi	seed	seed	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2008.10643607
36	Trachyspermum ammi	seed	seed	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2008.10643607
37	Artemisia vulgaris	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1602083
38	Artemisia vulgaris	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2019.1602083
39	Hyptis suaveolens	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2008.10643644
40	Aegle marmelos	leaf	leaf	Anticancer agents			XM9F82	https://doi.org/10.1080/0972060X.2019.1653796
41	Aegle marmelos	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1653796
42	Zanthoxylum armatum	bark	stem bark	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1630015
43	Zanthoxylum armatum	bark	stem bark	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2019.1630015
