Sno	Plant name	Uses	Reference
1	Pogostemon cablin	Perfumery, flavouring, Pharmaceutical industry	https://doi.org/10.1080/10412905.2012.705095
2	Valeriana jatamansi	Perfumery, flavouring, Pharmaceutical industry	https://doi.org/10.1080/10412905.2012.705095
3	Selinum carvifolium	Pharmaceutical industry, Cosmetic industry	https://doi.org/10.1080/0972060X.2013.831567
4	Chromolaena odorata	Insect repellent	https://doi.org/10.1080/0972060X.2013.831571
5	Pelargonium graveolens	Perfumery, Flavouring, Cosmetics, Aromatherapy	https://doi.org/10.1080/0972060X.2013.862930
6	Syzygium aromaticum	Flavouring, Beverages, Pharmaceutical industry, Cosmetics	https://doi.org/10.1080/0972060X.2014.884779
7	Corymbia citriodora	Soaps, Perfumery, Mosquito-repellent, Insecticide	https://doi.org/10.1080/0972-060X.2004.10643384
8	Acorus calamus	Beer, Alcoholic beverages, Liqueur preparations (bitters| liqueurs| vermouths), Frozen desserts, Yogurt, Cakes, Confectionery	https://doi.org/10.1080/0972060X.2014.884815
9	Artemisia annua	Perfumery, Cosmetics,Aromatherapy	https://doi.org/10.1080/0972060X.2014.886968
10	Mentha arvensis	Perfumery, Cosmetics, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2014.895155
11	Syzygium caryophyllatum	Food preservation, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2014.895198
12	Mentha piperita	Pharmaceutical industry, cosmetics, Food	https://doi.org/10.1080/0972060X.2014.905758
13	Ocimum basilicum	Medicinal use, Perfumery	https://doi.org/10.1080/0972060X.2014.931255
14	Ocimum kilimandscharicum	Medicinal use, Perfumery	https://doi.org/10.1080/0972060X.2014.931255
15	Ocimum tenuiflorum	Medicinal use, Perfumery	https://doi.org/10.1080/0972060X.2014.931255
16	Ocimum gratissimum	Medicinal use, Perfumery	https://doi.org/10.1080/0972060X.2014.931255
17	Cymbopogon citratus	Cosmetics, Perfumery	https://doi.org/10.1080/0972060X.2014.935075
18	Hedychium coronarium	Cosmetics, Soaps, medicine	https://doi.org/10.1080/0972060X.2014.960268
19	Cymbopogon winterianus	Perfumery, Cosmetics, Pharmaceutical industry	https://doi.org/10.1080/0972-060X.2004.10643409
20	Alpinia calcarata	Pharmaceutical industry, Food industry, Skin care products	https://doi.org/10.1080/0972060X.2015.1126534
21	Alpinia galanga	Pharmaceutical industry, Food industry, Skin care products	https://doi.org/10.1080/0972060X.2015.1126534
22	Rosa damascena	Flavouring, Fragrance industry	https://doi.org/10.1080/0972060X.2016.1153985
23	Cymbopogon winterianus	Perfumery, Cosmetics, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2006.10643476
24	Justicia adhatoda	Pharmaceutical industry	https://doi.org/10.1080/0972060X.2016.1260061
25	Origanum majorana	Aromatherapy, Food industry, Cosmetic industry, Soaps, Detergents	https://doi.org/10.1080/0972060X.2016.1264276
26	Murraya koenigii	Aromatherapy, Soaps, Cosmetic industry, Flavouring (soups), Curries, Fishes	https://doi.org/10.1080/0972060X.2017.1317606
27	Angelica glauca	flavouring (food), Spices, Condiment	https://doi.org/10.1080/0972060X.2017.1336119
28	Rosa damascena	Perfumery, Food industry	https://doi.org/10.1080/0972060X.2017.1399089
29	Kaempferia galanga	Aromatherapy, Cosmetics, flavouring (food), Fragrance, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2017.1400405
30	Juniperus communis	Fragrance blending, Liquors, Food industry, Aromatherapy	https://doi.org/10.1080/0972060X.2007.10643560
31	Morina longifolia	Perfumery industry, Food, Flavouring, Fragrance	https://doi.org/10.1080/0972060X.2018.1437782
32	Santalum album	Perfumery, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2018.1486231
33	Cinnamomum tamala	Perfumery,  flavouring, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2018.1497546
34	Corymbia citriodora	Perfumery, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2008.10643607
35	Cymbopogon flexuosus	Confectionery, Beverages, Pharmaceutical sectors, Aromatherapy, Cosmetics, Perfumery	https://doi.org/10.1080/0972060X.2018.1559105
36	Zingiber officinale	Pharmaceutical applications, Flavouring	https://doi.org/10.1080/0972060X.2018.1559104
37	Curcuma longa	Medicine, Cosmetics, Aromatherapy, food industry, dye industry	https://doi.org/10.1080/0972060X.2019.1599734
38	Acorus calamus	Pharmaceutical industry, Perfumery, Cosmetic industry	https://doi.org/10.1080/0972060X.2019.1653797
39	Cymbopogon khasianus	Aromatherapy, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2019.1661797
40	Zanthoxylum armatum	Perfumery, Cosmetics, Insect repellent, Food preservation	https://doi.org/10.1080/0972060X.2019.1630015
41	Artemisia annua	Cosmetic industry, Food industry, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2018.1526127
42	Pelargonium graveolens	soaps, Cosmetics, Aromatherapy	https://dx.doi.org/10.1080/0972060X.2009.10643735
43	Anisochilus carnosus	Medicinal use, Food, Perfumery, Cosmetics	https://doi.org/10.1080/0972-060X.2003.10643332
44	Artemisia dracunculus	Flavouring (vinegar| Sauces| Salad dressing| Canned soups| Liqueurs), Perfumes	https://doi.org/10.1080/0972060X.2010.10643830
45	Mentha spicata	Food, Cosmetics, Confectionery, Chewing gum, Toothpaste, Pharmaceutical industry	https://doi.org/10.1080/0972060X.2010.10643834
46	Cymbopogon flexuosus	Soaps, Perfumery	https://doi.org/10.1080/0972060X.2010.10643867
47	Artemisia vestita	perfumery	https://doi.org/10.1080/0972-060X.2003.10643355
48	Artemisia maritima	Flavouring (liquors in Pharmaceutical preparation)	https://doi.org/10.1080/0972060X.2010.10643869
49	Origanum vulgare	flavouring (food)	https://doi.org/10.1080/0972060X.2010.10643880
50	Salvia sclarea	Food, Cosmetic industry, Alcoholic beverages, non-alcoholic beverages, Ice creams, food (Candy-baked)	https://doi.org/10.1080/0972060X.2011.10643931
51	Cymbopogon flexuosus	Perfumery, Flavour industry, Herbal tea, Vitamin A synthesis	https://doi.org/10.1080/0972060X.2011.10643988
52	Cymbopogon martini	Cosmetics, Fragrance, Flavour industry, Aromatherapy	https://doi.org/10.1080/0972060X.2011.10643988
53	Cymbopogon winterianus	Cosmetics, Perfumery, Aromatherapy, Mosquito-repellent	https://doi.org/10.1080/0972060X.2011.10643988
54	Corymbia citriodora	Soaps, Cosmetics, Hair oils, Mosquito-repellent	https://doi.org/10.1080/0972060X.2011.10643988
55	Mentha arvensis	Pharmaceutical industry, Food industry, Flavour industry	https://dx.doi.org/10.1080/0972060X.2011.10644007
56	Ruta graveolens	Flavouring (perfumery| Soap industry)	https://doi.org/10.1080/0972060X.2012.10644050
57	Tagetes minuta	Cosmetics, Perfumery, flavouring (food), flavouring (beverages), medicine	https://doi.org/10.1080/0972060X.2012.10644068
58	Origanum vulgare	Flavour industry, flavouring (food)	https://doi.org/10.1080/0972060X.2012.10644100
59	Cinnamomum verum	Flavour industry, Pharmaceutical preparations	https://doi.org/10.1080/0972060X.2013.813236
60	Cymbopogon winterianus	Soaps, Perfumery, Cosmetics, Flavour industry	https://doi.org/10.1080/10412905.2001.9699648
61	Pelargonium graveolens	Fragrance, Soaps, Food industry	https://doi.org/10.1080/10412905.2017.1383315
62	Pogostemon cablin	High grade perfumes, Cosmetic industry, Flavour industry	https://doi.org/10.1080/10412905.2009.9700132
63	Ocimum americanum	Perfumery, Flavouring, Pharmaceutical industry, Medicinal use	https://doi.org/10.1080/10412905.2017.1371087
64	Ocimum basilicum	Perfumery, Flavouring, Pharmaceutical industry, Medicinal use	https://doi.org/10.1080/10412905.2017.1371087
65	Ocimum africanum	Perfumery, Flavouring, Pharmaceutical industry, Medicinal use	https://doi.org/10.1080/10412905.2017.1371087
66	Ocimum gratissimum	Perfumery, Flavouring, Pharmaceutical industry, Medicinal use	https://doi.org/10.1080/10412905.2017.1371087
67	Ocimum tenuiflorum	Perfumery, Flavouring, Pharmaceutical industry, Medicinal use	https://doi.org/10.1080/10412905.2017.1371087
68	Cymbopogon distans	Aromatherapy, Fragrance	https://doi.org/10.1080/10412905.2017.1375035
69	Acorus calamus	Medicinal use, Flavouring (alcoholic beverages), perfumes, Sacred oils	https://doi.org/10.1080/10412905.2016.1222973
70	Valeriana jatamansi	Medicine, Perfumery	https://doi.org/10.1080/10412905.2016.1189856
71	Cymbopogon flexuosus	Scent, Perfumes, Cosmetic industry	https://doi.org/10.1080/10412905.2019.1610517
72	Anethum graveolens	Food industry	https://doi.org/10.1080/10412905.1995.9698456
73	Lavandula angustifolia	Lotions, Colognes, Ambers, floral perfume, semi-floral perfume, non-floral perfume, Aromatherapy	https://doi.org/10.1080/10412905.2016.1162210
74	Tagetes minuta	Flavouring, Perfumery	https://doi.org/10.1080/10412905.1993.9698246
75	Rosa damascena	Perfumery, Cosmetic industry	https://doi.org/10.1080/10412905.1993.9698225
76	Cymbopogon martini	Cosmetics, Perfumery	https://doi.org/10.1080/10412905.1998.9701006
77	Cymbopogon flexuosus	Perfumery, Pharmaceutical industry, Insect repellent, soaps, Detergents	https://doi.org/10.1080/10412905.1998.9700931
78	Cymbopogon martini	Perfumery, Pharmaceutical industry, Insect repellent, soaps, Detergents	https://doi.org/10.1080/10412905.1998.9700931
79	Cymbopogon winterianus	Perfumery, Pharmaceutical industry, Insect repellent, soaps, Detergents	https://doi.org/10.1080/10412905.1998.9700931
80	Cymbopogon jwarancusa	Perfumery, Pharmaceutical industry	https://doi.org/10.1080/10412905.1997.9700744
81	Pogostemon cablin	Perfumery, Cosmetics, Medicinal use, flavouring (food)	https://doi.org/10.1080/10412905.2019.1566100
82	Mentha arvensis	flavouring (food), Cosmetics, Pharmaceutical  industry	https://doi.org/10.1080/10412905.2014.962190
83	Mentha aquatica	flavouring (food), Cosmetics, Pharmaceutical  industry	https://doi.org/10.1080/10412905.2014.962190
84	Mentha spicata	flavouring (food), Cosmetics, Pharmaceutical  industry	https://doi.org/10.1080/10412905.2014.962190
85	Artemisia annua	Perfumery, Cosmetics,Aromatherapy	https://doi.org/10.1080/10412905.2014.949881
86	Origanum vulgare	Soaps, Cosmetic industry, flavouring (food), Food preservation	https://doi.org/10.1080/10412905.2014.948969
87	Pelargonium graveolens	Perfumery, Cosmetics, food industry, pharmaceutical industry	https://doi.org/10.1080/10412905.2013.782476
88	Cymbopogon martini	High grade perfumes, Cosmetics, Flavouring, Pharmaceutical industry	https://doi.org/10.1080/10412905.2018.1512533
89	Mentha piperita	flavouring (food), Cosmetics, Confectionery, Dental preparations, Cough syrups, Candies, Pharmaceutical preparations, liquors	https://doi.org/10.1080/10412905.2011.9700444
90	Tagetes minuta	Perfumery, Flavouring	https://doi.org/10.1080/10412905.2006.9699114
91	Artemisia annua	Perfumery, Cosmetics,Aromatherapy	https://doi.org/10.1080/10412905.2003.9712131
92	Cymbopogon martini	Perfumery, Soaps, Cosmetics, Toiletry, Tobacco products	https://doi.org/10.1002/1099-1026(200009/10)15:5<309::AID-FFJ914>3.0.CO;2-F
93	Cymbopogon winterianus	Fragrance industry	https://doi.org/10.1002/ffj.1313
94	Murraya koenigii	Industrial Application, Medicinal use	https://doi.org/10.1002/ffj.1436
95	Matricaria chamomilla	Medicine, Cosmetics, Food, Flavouring (alcoholic beverages),  Flavouring (non-alcoholic beverages)	https://doi.org/10.1002/ffj.1582
96	Carissa spinarum	perfumery	https://doi.org/10.1002/ffj.1595
97	Cinnamomum tazia	Food additive, Condiment, Flavouring	https://doi.org/10.1002/ffj.1688
98	Salvia sclarea	Alcoholic beverages, non-alcoholic beverages, Ice creams, food (Candy-baked)	https://doi.org/10.1002/ffj.1733
99	Boswellia serrata	Perfumes, Soaps, Creams, Lotions, Detergents	https://doi.org/10.1002/ffj.1772
100	Zanthoxylum armatum	Deodorant	https://doi.org/10.1002/ffj.1024
101	Zingiber zerumbet	Fragrance industry	https://doi.org/10.1002/ffj.1940
102	Matricaria chamomilla	Flavouring, Perfumery, Cosmetic industry	https://doi.org/10.1002/ffj.1035
103	Citrus taitensis	Flavouring, Perfumery	https://doi.org/10.1002/ffj.2730040108
104	Pelargonium graveolens	Aromatherapy, Flavour industry, Fragrance industry	https://doi.org/10.1002/ffj.3390
105	Cymbopogon flexuosus	Perfumery, flavouring, Pharmaceutical industry	https://doi.org/10.1002/(SICI)1099-1026(199609)11:5<289::AID-FFJ590>3.0.CO;2-7
106	Cymbopogon martini	Perfumery, flavouring, Pharmaceutical industry	https://doi.org/10.1002/(SICI)1099-1026(199609)11:5<289::AID-FFJ590>3.0.CO;2-7
107	Cymbopogon winterianus	Perfumery, flavouring, Pharmaceutical industry	https://doi.org/10.1002/(SICI)1099-1026(199609)11:5<289::AID-FFJ590>3.0.CO;2-7
108	Cymbopogon martini	Perfumery (Soaps), Cosmetics	https://doi.org/10.1002/(SICI)1099-1026(199805/06)13:3<167::AID-FFJ719>3.0.CO;2-B
109	Hyssopus officinalis	Food industry, Pharmaceutical industry, Cosmetic industry	https://doi.org/10.1002/(SICI)1099-1026(199905/06)14:3<170::AID-FFJ808>3.0.CO;2-Q
110	Acorus calamus	Beer, Cordial (aromatic), Liqueur preparations	https://doi.org/10.1002/ffj.1136
111	Piper attenuatum	Perfumery, Flavouring	https://doi.org/10.1002/(SICI)1099-1026(199909/10)14:5<279::AID-FFJ821>3.0.CO;2-0
112	Piper cubeba	Perfumery, Flavouring	https://doi.org/10.1002/(SICI)1099-1026(199909/10)14:5<279::AID-FFJ821>3.0.CO;2-0
113	Piper nigrum	Perfumery, Flavouring	https://doi.org/10.1002/(SICI)1099-1026(199909/10)14:5<279::AID-FFJ821>3.0.CO;2-0
114	Corymbia citriodora	Flavouring, Fragrance industry	https://doi.org/10.1002/ffj.1157
115	Cymbopogon martini	Perfumery, Soaps, Cosmetics, Toiletry, Tobacco products	https://doi.org/10.1002/ffj.1222
116	Cinnamomum tamala	Flavouring, Perfumery	https://doi.org/10.1002/ffj.1236
117	Cymbopogon martini	Soaps, Flavouring (tobacco), Mouth fresheners, Perfumery industry, Cosmetics	https://doi.org/10.1080/10412905.2018.1429327
118	Orthosiphon thymiflorus	Pharmaceutical industry	https://doi.org/10.1016/S2221-1691(12)60139-7
119	Zingiber chrysanthum	Spices, Flavouring	https://doi.org/10.1080/10412905.1992.9698113
120	Zingiber montanum	flavouring (food), Medicine, Aromatherapy	https://doi.org/10.1021/acs.jafc.1c00256
121	Mikania micrantha	Pharmaceutical industry	https://doi.org/10.1007/s11696-020-01077-6
122	Cananga odorata	Pharmaceutical industry, Food industry	https://doi.org/10.1080/0972060X.2021.1957023
123	Lavandula gibsonii	Mosquito-repellent	https://doi.org/10.1007/s10340-013-0502-1
124	Decalepis arayalpathra	Flavour industry	https://doi.org/10.1080/14786419.2014.918127
125	Dysoxylum malabaricum	Flavouring, Food industry	https://doi.org/10.1007/s13196-011-0014-7
126	Cyclospermum leptophyllum	Flavour industry, Pharmaceutical industry, Cosmetic industry, Agricultural industry	https://doi.org/10.1080/22297928.2015.1090330
127	Litsea glutinosa	Shampoo preparation	https://doi.org/10.22159/IJPPS.2016V8I12.13577
128	Myristica fragrans	Perfumery industry, Naturopathy	https://updatepublishing.com/journal/index.php/josac/article/view/4888
129	Baccharoides anthelmintica	Food, Pharmaceutical industry, Cosmetics, Perfumery industry	https://doi.org/10.37021/ijper.v1i1.11
130	Citrus aurantifolia	Food, Pharmaceutical industry, Cosmetics, Perfumery industry	https://doi.org/10.37021/ijper.v1i1.11
131	Anethum graveolens	Soaps, Perfumes, flavouring (food), food seasoning, Pastries, sauces	https://www.jocpr.com/abstract/chemical-constituents-of-essential-oil-from-anethum-sowa-kurz-seed-2076.html
